Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Aoyama, J. et al. Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells. Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020).", Spatiotemporal imaging documented the maturation of the cardiomyocytes from human induced pluripotent stem cells,,https://doi.org/10.1016/j.jtcvs.2019.06.060,2020," Journal of Thoracic and Cardiovascular Surgery 159, 2260-2271.e7 (2020)",4.54E+04,1,,,Matrigel,E8,EB,StemPro-34,"L-ascorbic acid, L-glutamine, 1-thioglycerol","Activin A, BMP4, bFGF",0-3,IWR1,3-May,,,,,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,Motion tracking analysis,,,,Dye,,,,,,,,,,,,,PCR,,,,,,2D Only,,,3,Q1,2,Q2,,,,,,,StemPro-34,,,,,,,,,,,,,,,,,,,,,,,,,
"Arai, K. et al. Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer. PLoS One 13, (2018).", Fabrication of scaffold-free tubular cardiac constructs using a Bio-3D printer,,https://doi.org/10.1371/journal.pone.0209162,2018," PLoS One 13, (2018)",iCell,1,,,,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,Yes,,,,,,"Scaffold free, 3D bioprinted to assemble cardiac spheroids",CM + EC + SC,hDF,HUVEC,"Same,proportion,as,cells,iCell,Maintenance,Medium,CDI,EBM,2,FBM,2",0.3,10,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,50,Q3,25,Q1,25,Q1,Q5,Q2,,,,,,,,,,,,,,,,,
"Archer, C. R. et al. Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology. Sci Rep 8, (2018).", Characterization and validation of a human 3D cardiac microtissue for the assessment of changes in cardiac pathology,,https://doi.org/10.1038/s41598-018-28393-y,2018," Sci Rep 8, (2018)",iCell,1,,,,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,Blasticidin,30-32,Flow cytometry for cTnT+,98,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,Scaffold free,CM + EC + SC,hCF,CMVEC,"50,iCell,Maintenance,Media,CDI,50,EBM,2",0.0125,0.035,Yes,,,,,,,,,,,,,,,,,,,,,,,,"sunitinib, doxorubicin",,,,,2D and 3D,,,1,Q3,1,Q3,,,,2,Q2,Q1,iCell Maintenance Medium,57,Q3,14,Q1,29,Q1,Q5,Q5,,,,,,,,,,,,,,,,,
"Beauchamp, P. et al. 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids. Front Mol Biosci 7, (2020).", 3D Co-culture of hiPSC-Derived Cardiomyocytes With Cardiac Fibroblasts Improves Tissue-Like Features of Cardiac Spheroids,,https://doi.org/10.3389/fmolb.2020.00014,2020," Front Mol Biosci 7, (2020)","iCell2, Cor.4U",2,"NaN, NaN","NaN, NaN",,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Fibronectin,,,,,Yes,,,,,,Scaffold free,CM + SC,heCF,,"iCell,Maintenance,Medium,CDI,phenylphrine,L,ascorbic,acid",0.0125,0.0078,Yes,TEM,,,,,Motion tracking analysis,,,,,,,,,,Patch clamp,,66,-41,,,,PCR,,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,80,Q2,0,Q2,20,Q1,Q5,Q5,,,,,,,,,,,,Q4,Q5,,,,
"Beauchamp, P. et al. Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes. Tissue Eng Part C Methods 21, 852861 (2015).", Development and Characterization of a Scaffold-Free 3D Spheroid Model of Induced Pluripotent Stem Cell-Derived Human Cardiomyocytes,,https://doi.org/10.1089/ten.TEC.2014.0376,2015," Tissue Eng Part C Methods 21, 852861 (2015)",iCell,1,,,,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,,Scaffold free,CM,,,"DMEM,GlutaMax,FCS,IGF,1",0.062,40,Yes,,,,,,Motion tracking analysis,,,,Dye,,20,,,,,,,,,,,,"phenylephrine, isoproterenol, blebbistatin, doxorubicin",,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,100,Q1,0,Q2,0,Q3,Q5,Q1,,,,,,,Q5,,,,,,,,,,
"Bekhite, M. M. et al. Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells. Basic Res Cardiol 115, (2020).", Longitudinal metabolic profiling of cardiomyocytes derived from human-induced pluripotent stem cells,,https://doi.org/10.1007/s00395-020-0796-0,2020," Basic Res Cardiol 115, (2020)",in-house,1,,,Matrigel,E8,,RPMI-1640,B27,"Activin A, BMP4, CHIR99021",,"BMP4, IWP-2",,No glucose with lactate,21-26,Flow cytometry for a-actinin+,80,"RPMI-1640, B27, L-ascorbic acid",,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,TEM,,,,,,,,,Dye,,,,,,,,,,,Seahorse,,PCR,"propranolol, epinephrine, atenolol, dobutamine",,,,,2D Only,,,1,Q3,1,Q3,,,,5,Q1,Q4,"RPMI-1640, B27, L-ascorbic acid",,,,,,,,,,,,,,,,,,,,,,,,,
"Bhagwan, J. R. et al. Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour. F1000Res 8, 1911 (2019).", Variable expression and silencing of CRISPR-Cas9 targeted transgenes identifies the AAVS1 locus as not an entirely safe harbour,,https://doi.org/10.12688/f1000research.19894.2,2019," F1000Res 8, 1911 (2019)",Not listed,1,,,Matrigel,E8,,StemPro-34,B27,"Activin A, BMP4",0-2,"KY02111, XAV939",2-Apr,,,IHC a-actinin,90,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Genetically encoded sensor,,,,,,,,,,,,,PCR,"dantrolene, ranolazine",,,,,2D Only,,,2,Q2,2,Q2,4,,,,,Q3,StemPro-34,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhute, V.J. et al. Metabolomics Identifies Metabolic Markers of Maturation in Human Pluripotent Stem Cell-Derived Cardiomyocytes. Theranostics 7, 20782091 (2017).", Metabolomics Identifies Metabolic Markers of Maturation in Human Pluripotent Stem Cell-Derived Cardiomyocytes,,https://doi.org/10.7150/thno.19390,2017,"Theranostics 7, 20782091 (2017)",19/09/2007,1,,,Matrigel,mTESR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,,,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Not for hiPSC-CMs,,,,,,,,,,,,,,,,,,,,,Seahorse,Yes,,,,,,,2D Only,,,1,Q3,2,Q2,6,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Birket, M. J. et al. A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology. Stem Cell Reports 13, 380393 (2019).", A Human Stem Cell Model of Fabry Disease Implicates LIMP-2 Accumulation in Cardiomyocyte Pathology,,https://doi.org/10.1016/j.stemcr.2019.07.004,2019," Stem Cell Reports 13, 380393 (2019)",in-house (4),4,,,Matrigel,mTeSR-1,,RPMI-1640,"L-ascorbic acid, albumin, bFGF, ITS-X","CHIR99021, BMP4",0-2,"Wnt-C59, bFGF",2-Apr,Cell sorting,,Flow cytometry for SIRPA+,96,"DMEM/F12, BSA, creatine, taurine,L-carnitine, 1-thioglycerol, L-ascorbic acid, Trace Elements A, B, and C, T3, dexamethasone, palmitic acid, FBS",Matrigel,Yes,"T3, dexamethasone, palmitic acid",,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,1800,,,,,,Dye,,,,,,Patch clamp,16,100,-70,,,,,caffeine,Fabry disease,,,,2D Only,,,2,Q2,2,Q2,2,,,,,Q1,"DMEM/F12, BSA, creatine, taurine,L-carnitine, 1-thioglycerol, L-ascorbic acid, Trace Elements A, B, and C, T3, dexamethasone, palmitic acid, FBS",,,,,,,,,,Q3,,,,,,,,,Q3,Q3,Q3,,,,
"Blazeski, A. et al. Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Stem Cell Reports 12, 982995 (2019).", Functional Properties of Engineered Heart Slices Incorporating Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes,,https://doi.org/10.1016/j.stemcr.2019.04.002,2019," Stem Cell Reports 12, 982995 (2019)",in-house,1,,,Geltrex,E8,80,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,,,Flow cytometry for cTnT+,83,,,,,,,,,,,Yes,,Decellularized tissue,CM,,,"RPMI,1640,B27",,95,Yes,,Yes,,,,Motion tracking analysis,,,,,,,,,,Optical mapping,19,,,,,,PCR,"isoproterenol, BaCl2, E4031, chromanol 293B, nifedipine, bay-k 8644, cromakalim",LQT2,,,,3D Only,,,2,Q2,2,Q2,9,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,,Q1,,,,,,,,,,,Q2,,,,,,
"Bliley, J. M. et al. Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype. Sci. Transl. Med 13, 1817 (2021).", Dynamic loading of human engineered heart tissue enhances contractile function and drives a desmosome-linked disease phenotype,,https://doi.org/10.1126/scitranslmed.abd1817,2021," Sci. Transl. Med 13, 1817 (2021)",in-house,1,,,Geltrex,E8,,RPMI-1640,KOSR,"CHIR99021, Activin A",0-2,Wnt-C59,2-Apr,No glucose with lactate,17-21,,,"RPMI-1640, albumin, L-ascorbic acid",Geltrex,,,,Yes,Yes,Yes,,,,,Collagen + matrigel,CM + SC,hCF,,"RPMI,1640,KOSR",18.75,12,Yes,TEM,Yes,2,,,Post deflection; Force transducer,,0.6,150,Dye,,,,,9,Patch clamp,,,-60,,,,PCR,,ACM,,,,3D Only,,,2,Q2,2,Q2,,,,4,Q2,,"RPMI-1640, albumin, L-ascorbic acid",90,Q2,0,Q2,10,Q2,Q2,Q2,Q1,,,Q3,Q1,,,,,Q2,,,Q4,,,,
