Protocol Variable,Analysis Method,Cell Profile
hiPSC-CM Media Supplement - bFGF (3),,3D SC Ratio (CM-EC-SC) Quantiles - Q3 (>0 and ≤0) (74)
Wnt Induction - CHIR99021 (184),,3D SC Ratio (CM-EC-SC) Quantiles - Q1 (>10 and ≤50) (47)
Wnt Induction - Activin A (80),,3D SC Ratio (CM-EC-SC) Quantiles - Q2 (>0 and ≤10) (29)
Wnt Induction - BMP4 (74),,3D Stromal Cell Source - Human Fibroblast (38)
Wnt Induction - bFGF (45),,3D Stromal Cell Source - Stromal Cell (35)
Wnt Induction - StemCell Diff Kit (4),,3D Stromal Cell Source - Cardiac Fibroblast (32)
Wnt Induction - Wnt3a (3),,3D Stromal Cell Source - Mesenchymal Stem Cell (12)
Seeding Confluency Regardless of 2D or 3D (%) - 85 to 89 (43),,3D Stromal Cell Source - hiPSC-CardiacF (8)
Seeding Confluency Regardless of 2D or 3D (%) - 90 to 94 (26),,3D Stromal Cell Source - Dermal Fibroblast (7)
Seeding Confluency Regardless of 2D or 3D (%) - 95 to 100 (23),,3D Stromal Cell Source - hiPSC-MuralC (3)
Seeding Confluency Regardless of 2D or 3D (%) - 80 to 84 (12),,3D Stromal Cell Source - hiPSC-SmoothMC (3)
Seeding Confluency Regardless of 2D or 3D (%) - 70 to 79 (11),,3D Endothelial Cell Source - hiPSC-EndothelialC (16)
Seeding Confluency Specifically for 2D Protocols (%) - 70 to 79 (6) ,,3D Endothelial Cell Source - Umbilical Vein EndothelialC (10)
Seeding Confluency Specifically for 3D Protocols (%) - 70 to 79 (3),,3D Endothelial Cell Source - Cardiac Microvascular EndothelialC (5)
Seeding Confluency Specifically for 2D Protocols (%) - 80 to 84 (5),,
Seeding Confluency Specifically for 3D Protocols (%) - 80 to 84 (5),,
Seeding Confluency Specifically for 2D Protocols (%) - 85 to 89 (26),,
Seeding Confluency Specifically for 3D Protocols (%) - 85 to 89 (12),,
Seeding Confluency Specifically for 2D Protocols (%) - 90 to 94 (12),,
Seeding Confluency Specifically for 3D Protocols (%) - 90 to 94 (13),,
Seeding Confluency Specifically for 2D Protocols (%) - 95 to 100 (6),,
Seeding Confluency Specifically for 3D Protocols (%) - 95 to 100 (13),,
Wnt Induction Duration (days) - 3 days (38),,
Wnt Induction Duration (days) - 4 days (15),,
Wnt Induction Duration (days) - 5 days (8),,
Wnt Induction Duration (days) Quantiles - Q3 (>0 and ≤1) (186),,
Wnt Induction Duration (days) Quantiles - Q2 (>1 and ≤2) (75),,
Wnt Induction Duration (days) Quantiles - Q1 (>2 and ≤5) (61),,
Wnt Inhibitor - IWP (112),,
Wnt Inhibitor - IWR (56),,
Wnt Inhibitor - Wnt-C59 (30),,
Wnt Inhibitor - XAV939 (24),,
Wnt Inhibitor - DS-I-7 (9),,
Wnt Inhibitor - bFGF (8),,
Wnt Inhibitor - KY02111 (7),,
Wnt Inhibitor - BMP4 (7),,
Wnt Inhibitor - VEGF (3),,
Wnt Inhibitor Duration (days) - 4 days (19),,
Wnt Inhibitor Duration (days) - 3 days (17),,
Wnt Inhibitor Duration (days) - >6 days (12),,
Wnt Inhibitor Duration (days) - 5 days (6),,
Wnt Inhibitor Duration (days) - 6 days (4),,
Wnt Inhibitor Duration (days) Quantiles - Q2 (>1 and ≤2) (156),,
Wnt Inhibitor Duration (days) Quantiles - Q3 (>1 and ≤1) (108),,
Wnt Inhibitor Duration (days) Quantiles - Q1 (>2 and ≤9) (58),,
Insulin Start Day - 7 (85),,
Insulin Start Day - 6 (20),,
Insulin Start Day - 1 (19),,
Insulin Start Day - 8 (15),,
Insulin Start Day - 5 (14),,
Insulin Start Day - 4 (11),,
Insulin Start Day - 9 (10),,
Insulin Start Day - 0 (7),,
Insulin Start Day - After 11 (7),,
Insulin Start Day - 10 (6),,
Insulin Start Day - 3 (5),,
Insulin Start Day - 2 (4),,
Insulin Start Day - 11 (3),,
Insulin Withdrawal Duration (days) Quantiles - Q2 (>2 and ≤4) (25),,
Insulin Withdrawal Duration (days) Quantiles - Q1 (>4 and ≤10) (11),,
Insulin Withdrawal Duration (days) - 4 days (18),,
Insulin Withdrawal Duration (days) - 3 days (6),,
Insulin Withdrawal Duration (days) - 6 days (3),,
Insulin Withdrawal Duration (days) - 8 days (3),,
Purification Protocol - Glucose and Lactate (85),,
Purification Protocol - Metabolic (8),,
Purification Protocol - Cell Sorting (7),,
Purification Protocol - Antibiotic (4),,
hiPSC-CM Purification Duration (days) - <3 days (31),,
hiPSC-CM Purification Duration (days) - 4 days (29),,
hiPSC-CM Purification Duration (days) - 3 days (13),,
hiPSC-CM Purification Duration (days) - 6 days (10),,
hiPSC-CM Purification Duration (days) - 5 days (6),,
hiPSC-CM Purification Duration (days) - 7 days (6),,
hiPSC-CM Purification Duration (days) - >9 days (5),,
hiPSC-CM Purification Duration (days) - 8 days (4),,
hiPSC-CM Purification Duration (days) Quantiles - Q2 (>1 and ≤4) (61),,
hiPSC-CM Purification Duration (days) Quantiles - Q1 (>4 and ≤20) (31),,
Differentiation Purity (%) Quantiles - Q4 (>79 and ≤85) (40),,
Differentiation Purity (%) Quantiles - Q3 (>85 and ≤90) (34),,
Differentiation Purity (%) Quantiles - Q5 (>30 and ≤79) (32),,
Differentiation Purity (%) Quantiles - Q2 (>90 and ≤95) (27),,
Differentiation Purity (%) Quantiles - Q1 (>95 and ≤99) (22),,
New Media for Maturation - RPMI-1640 (30),,
New Media for Maturation - DMEM (21),,
New Media for Maturation - F12 (7),,
New Media for Maturation - Commercial Kit (5),,
hiPSC-CM Maturation Media - RPMI-1640 (153),,
hiPSC-CM Maturation Media - iCell Maintenance (83),,
hiPSC-CM Maturation Media - DMEM (35),,
hiPSC-CM Maturation Media - Commercial Kit (27),,
hiPSC-CM Maturation Media - StemPro-34 (14),,
hiPSC-CM Maturation Media - F12 (10),,
hiPSC-CM Maturation Media - Cor.4U Complete (6),,
Coating for Replating - Matrigel (65),,
Coating for Replating - Gelatin (43),,
Coating for Replating - Fibronectin (32),,
Coating for Replating - Geltrex (10),,
Coating for Replating - Laminin (5),,
Coating for Replating - Synthemax (3),,
Coating for Replating - Vitronectin (3),,
Maturation Strategy - Metabolic (33),,
Maturation Strategy - Electrical (39),,
Maturation Strategy - Tension (64),,
Maturation Strategy - Other Cells (80),,
Maturation Strategy - Mechanical (36),,
Maturation Strategy - Cell Alignment (59),,
Maturation Strategy - Elastomeric (33),,
Maturation Strategy - ECM (21),,
Metabolic Maturation Component - T3 (14),,
Metabolic Maturation Component - Fatty Acid (13),,
Metabolic Maturation Component - Palmitic Acid (11),,
Metabolic Maturation Component - Creatine (7),,
Metabolic Maturation Component - Taurine (7),,
Metabolic Maturation Component - Dexamethasone (7),,
Metabolic Maturation Component - L-carnitine (6),,
Metabolic Maturation Component - Nonessential Amino Acids (6),,
Metabolic Maturation Component - Galactose (4),,
Metabolic Maturation Component - Lactate (4),,
Metabolic Maturation Component - Insulin-Transferrin-Selenium (3),,
Metabolic Maturation Component - Vitamin B12 (3),,
Metabolic Maturation Component - Biotin (3),,
Metabolic Maturation Component - Ascorbic Acid (3),,
Metabolic Maturation Component - Albumax (3),,
Metabolic Maturation Component - B27 (3),,
Metabolic Maturation Component - KOSR (3),,
Metabolic Maturation Component - IGF-1 (3),,
Metabolic Maturation Component Category - Fatty Acids and Lipids (21),,
Metabolic Maturation Component Category - Metabolic Modulation (20),,
Metabolic Maturation Component Category - Hormonal Stimulation (14),,
Metabolic Maturation Component Category - Sugars and Carbohydrates (9),,
Metabolic Maturation Component Category - Amino Acids and Derivatives (9),,
Metabolic Maturation Component Category - Signaling Pathway Regulators (6),,
Metabolic Maturation Component Category - Kinase Inhibitors (3),,
2D Surface - ECM-coated (115),,
2D Surface - Micropatterned (27),,
2D Surface - Hydrogel (17),,
2D Surface - Electrospun (13),,
2D Surface - Microelectrode Array (9),,
2D Surface - Nanotopography (6),,
2D Surface - Decellularized ECM (3),,
2D Surface - Microparticle/fluid (3),,
3D Platform - Fibrin (50),,
3D Platform - Scaffold Free (43),,
3D Platform - Collagen (38),,
3D Platform - Matrigel (33),,
3D Platform - Extracellular Scaffold (18),,
3D Platform - 3D printed (9),,
3D Platform - Polyethylene Glycol (8),,
3D Platform - Gelatin (6),,
3D Platform - Fibronectin (3),,
3D Platform - Nanotechnology (3),,
3D Tissue Media - RPMI-1640 (72),,
3D Tissue Media - MEM-α (60),,
3D Tissue Media - DMEM (53),,
3D Tissue Media - Commercial Kit (21),,
3D Tissue Media - Growth Factor (12),,
3D Tissue Media - iCell Maintenance (12),,
3D Tissue Media - High-glucose DMEM (9),,
3D Tissue Media - Iscove (5),,
