Target Label,Prioritised Features,Entropy Value,Entropy Conf,Gini Index Value,Gini Index Conf,Category,Best Conf,Significant,PlotSig
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Number of Cell Lines - 2 (50),0.01937,0.00560056,0.01292,0.01620162,Best Maturity,0.00560056,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Contraction Upstroke Velocity (um/s) Quantiles - Q3 (>10 and ≤31.5) (7),0.0187,0.00170017,0.01207,0.0130013,Best Maturity,0.00170017,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Differentiation Purity (%) Quantiles - Q1 (>95 and ≤99) (22),0.01612,0.00440044,0.01316,0.00670067,Best Maturity,0.00440044,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Coating for Replating - Rare (6),0.01578,0.00450045,0.01653,0.00380038,Best Maturity,0.00380038,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),TNNI3 Precentage (TNNI1) Quantiles - Q2 (>6.5 and ≤16.15) (4),0.01487,0.00560056,0.01748,0.00440044,Best Maturity,0.00440044,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Journal - Acta Biomater (10),0.01462,0.01120112,0.01184,0.01750175,Best Maturity,0.01120112,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Resting Membrane Potential (mV) Quantiles - Q1 (<-78 and ≥-85) (12),0.01415,0.01040104,0.01326,0.00910091,Best Maturity,0.00910091,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Differentiation Purity Assessment - Flow Cytometry cTnT+ (135),0.01343,0.01010101,0.00794,0.082908291,Best Maturity,0.01010101,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Gene Analysis Method - RNA (169),0.01318,0.01030103,0.00479,0.528952895,Best Maturity,0.01030103,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Conduction Velocity from Calcium Imaging (cm/s) Quantiles - Q1 (>17 and ≤44) (5),0.01254,0.00870087,0.01061,0.01750175,Best Maturity,0.00870087,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Disease Modelling - Hypertrophic Cardiomyopathy (6),0.01247,0.01280128,0.01315,0.01310131,Best Maturity,0.01280128,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Deduced Culture Strategy - 2D Only (183),0.01055,0.03690369,0.00641,0.183018302,Best Maturity,0.03690369,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Cell Line - Cellapy (4),0.00979,0.01410141,0.0132,0.00580058,Best Maturity,0.00580058,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Wnt Induction Duration (days) - 3 days (38),0.00954,0.0380038,0.00987,0.0290029,Best Maturity,0.0290029,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Journal - Rare (104),0.00926,0.075107511,0.01602,0.00020002,Best Maturity,0.00020002,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Seeding Confluency 2D (%) - 80 to 84 (5),0.00895,0.03030303,0.00994,0.02440244,Best Maturity,0.02440244,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),2D Surface - Micropatterned (27),0.00876,0.04220422,0.00956,0.02870287,Best Maturity,0.02870287,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),2D Surface - Microparticle/fluid (3),0.00874,0.02330233,0.00834,0.03920392,Best Maturity,0.02330233,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Metabolic Component - Insulin-Transferrin-Selenium (3),0.00814,0.02760276,0.00877,0.03610361,Best Maturity,0.02760276,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Calcium Flux Amplitude (F/F0) Quantiles - Q5 (>0.03 and ≤0.25) (11),0.00767,0.0440044,0.01003,0.02030203,Best Maturity,0.02030203,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),hiPSC-CM Media Supplement - Rare (5),0.00761,0.056705671,0.01002,0.02810281,Best Maturity,0.02810281,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),2D Surface - Nanotopography (6),0.00725,0.053405341,0.00817,0.04250425,Best Maturity,0.04250425,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Sarcomere Length (um) Quantiles - Q3 (>1.75 and ≤1.88) (13),0.00682,0.058605861,0.01053,0.01810181,Best Maturity,0.01810181,TRUE,TRUE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Contractile Analysis Method - Rare (7),0.00602,0.078707871,0.00875,0.03250325,Best Maturity,0.03250325,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),MYL2 Precentage (MYL7) Quantiles - Q1 (>30.1 and ≤45.7) (4),0.0046,0.106110611,0.00918,0.03170317,Best Maturity,0.03170317,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Seeding Confluency (%) - 80 to 84 (12),0.00457,0.143514351,0.00826,0.04530453,Best Maturity,0.04530453,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),hiPSC Matrix Coating - EBs (18),0.00371,0.184918492,0.00875,0.0350035,Best Maturity,0.0350035,TRUE,FALSE
Cell Area (um2) Quantiles - Q1 (>2850 and ≤9000) (11),Wnt Inhibitor Duration (days) Quantiles - Q3 (>1 and ≤1) (108),0.00351,0.896489649,0.01084,0.01990199,Best Maturity,0.01990199,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Cell Line - BJ1 (7),0.02304,0.00130013,0.0242,0.0010001,Best Maturity,0.0010001,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Contractile Analysis Method - Force Transducer (27),0.0213,0.00360036,0.01713,0.00320032,Best Maturity,0.00320032,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Tissue Media - Iscove (5),0.0208,0.0020002,0.02286,0.00110011,Best Maturity,0.00110011,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Journal - Circulation (11),0.02042,0.0020002,0.02039,0.00120012,Best Maturity,0.00120012,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Maturation Strategy - Tension (64),0.01998,0.00150015,0.00821,0.077307731,Best Maturity,0.00150015,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Estimated Tissue Size (mm2) Quantiles - Q1 (>26.2 and ≤3500) (27),0.01962,0.00320032,0.01349,0.01020102,Best Maturity,0.00320032,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Calcium Flux Amplitude (F/F0) Quantiles - Q5 (>0.03 and ≤0.25) (11),0.01758,0.00620062,0.01743,0.00580058,Best Maturity,0.00580058,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),0.01529,0.01020102,0.01355,0.01130113,Best Maturity,0.01020102,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Platform - Collagen (38),0.01415,0.01580158,0.01389,0.00730073,Best Maturity,0.00730073,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Number of Cell Lines - 1 (225),0.01407,0.01380138,0.00623,0.216621662,Best Maturity,0.01380138,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Action Potential Conduction Velocity (cm/s) Quantiles - Q1 (>28.5 and ≤41) (7),0.01392,0.00770077,0.01162,0.0130013,Best Maturity,0.00770077,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Tissue Media - Growth Factor (12),0.01356,0.00910091,0.0121,0.01240124,Best Maturity,0.00910091,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),hiPSC Backbone Media - DMEM (10),0.01184,0.01780178,0.01073,0.02230223,Best Maturity,0.01780178,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),hiPSC Backbone Media - Conditioned (12),0.01165,0.02360236,0.00916,0.03770377,Best Maturity,0.02360236,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Stromal Cell Source - Human Fibroblast (38),0.01145,0.02650265,0.00599,0.149014901,Best Maturity,0.02650265,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Insulin Start Day - 11 (3),0.01142,0.01940194,0.0088,0.053605361,Best Maturity,0.01940194,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),hiPSC-CM Purification Duration (days) - <3 days (31),0.0114,0.02710271,0.00978,0.03450345,Best Maturity,0.02710271,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Wnt Inhibitor - IWP (112),0.01076,0.04380438,0.0085,0.055105511,Best Maturity,0.04380438,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Time to Calcium Flux Peak (ms) Quantiles - Q2 (<200 and ≥154) (9),0.01036,0.02590259,0.0116,0.01840184,Best Maturity,0.01840184,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Pharmacological Intervention - T3 (3),0.01035,0.0470047,0.01171,0.04410441,Best Maturity,0.04410441,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Sarcomere Length (um) Quantiles - Q4 (>1.64 and ≤1.75) (14),0.01034,0.02730273,0.0062,0.086408641,Best Maturity,0.02730273,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Estimated Cell Density (mil cells/mL) Quantiles - Q3 (>5 and ≤10) (30),0.00993,0.03670367,0.00847,0.050305031,Best Maturity,0.03670367,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Action Potential Conduction Velocity (cm/s) Quantiles - Q3 (>10.75 and ≤16) (8),0.00992,0.02490249,0.00566,0.104810481,Best Maturity,0.02490249,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Cell Coculture - Cardiomyocyte (157),0.00974,0.04030403,0.00604,0.243524352,Best Maturity,0.04030403,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Publication Year - 2014 (3),0.00947,0.02520252,0.0128,0.0130013,Best Maturity,0.0130013,TRUE,TRUE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),3D Stromal Cell Source - hiPSC-SmoothMC (3),0.00904,0.03190319,0.00473,0.084908491,Best Maturity,0.03190319,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Disease Modelling - Genetic Disorders (18),0.00898,0.03770377,0.00716,0.068906891,Best Maturity,0.03770377,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Number of Cell Lines - 3 (29),0.00896,0.04640464,0.00908,0.03760376,Best Maturity,0.03760376,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Disease Modelling - Hypertrophic Cardiomyopathy (6),0.00817,0.04490449,0.00755,0.061906191,Best Maturity,0.04490449,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Electron Imaging - Transmission (62),0.00776,0.106410641,0.01086,0.02920292,Best Maturity,0.02920292,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Day of Insulin Addition - not 9 (3),0.00575,0.066006601,0.00889,0.03850385,Best Maturity,0.03850385,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Journal - Rare (104),0.00384,0.701570157,0.00954,0.02860286,Best Maturity,0.02860286,TRUE,FALSE
Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),Day of Insulin Addition - not 18 (10),0.00352,0.168616862,0.00732,0.04930493,Best Maturity,0.04930493,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Contractile Analysis Method - Force Transducer (27),0.03595,0.00010001,0.02703,0.00010001,Best Maturity,0.00010001,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Differentiation Purity (%) Quantiles - Q2 (>90 and ≤95) (27),0.02346,0.00080008,0.01855,0.0010001,Best Maturity,0.00080008,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Cell Line - BJ1 (7),0.02078,0.0020002,0.02494,0.00050005,Best Maturity,0.00050005,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Purification Protocol - Glucose and Lactate (85),0.01718,0.00460046,0.00637,0.178917892,Best Maturity,0.00460046,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Day of Insulin Addition - not 24 (9),0.01677,0.00280028,0.01274,0.010001,Best Maturity,0.00280028,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Day of Insulin Addition - not 23 (10),0.0163,0.00630063,0.01545,0.00690069,Best Maturity,0.00630063,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),2D Surface - Hydrogel (17),0.01626,0.00740074,0.01304,0.01060106,Best Maturity,0.00740074,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Contractile Force (mN) Quantiles - Q1 (>1.04 and ≤20) (10),0.01616,0.00460046,0.01454,0.00610061,Best Maturity,0.00460046,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Action Potential Conduction Velocity (cm/s) Quantiles - Q1 (>28.5 and ≤41) (7),0.01433,0.00360036,0.01355,0.00570057,Best Maturity,0.00360036,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Day of Insulin Addition - not 22 (12),0.01405,0.01030103,0.01055,0.02470247,Best Maturity,0.01030103,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Seeding Confluency 3D (%) - 95 to 100 (13),0.01399,0.01320132,0.01066,0.02420242,Best Maturity,0.01320132,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Journal - Circulation (11),0.01353,0.00860086,0.01199,0.0120012,Best Maturity,0.00860086,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Wnt Inhibitor - IWP (112),0.01345,0.02230223,0.00274,0.837483748,Best Maturity,0.02230223,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Pharmacological Intervention - β1/β2-Adrenergic Agonists (Pure β-Agonists) (73),0.01307,0.02480248,0.01051,0.03480348,Best Maturity,0.02480248,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Number of Cell Lines - 2 (50),0.01299,0.02170217,0.00949,0.0440044,Best Maturity,0.02170217,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Pharmacological Intervention - Isoproterenol (71),0.01277,0.01740174,0.01146,0.01350135,Best Maturity,0.01350135,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Maturation Strategy - Tension (64),0.01266,0.02230223,0.00792,0.063806381,Best Maturity,0.02230223,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Pharmacological Intervention - Class IV Antiarrhythmics (Ca2+ Channel Blockers - AV Nodal Block) (30),0.01247,0.01790179,0.0124,0.01180118,Best Maturity,0.01180118,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),3D Estimated Tissue Size (mm2) Quantiles - Q4 (>0.13 and ≤2) (31),0.01216,0.02360236,0.0128,0.01070107,Best Maturity,0.01070107,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),3D Tissue Media - High-glucose DMEM (9),0.01146,0.02150215,0.00703,0.072107211,Best Maturity,0.02150215,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),hiPSC-CM Purification Duration (days) - 7 days (6),0.0109,0.00780078,0.01371,0.00460046,Best Maturity,0.00460046,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Pharmacological Intervention - Adrenaline (83),0.01074,0.04710471,0.00787,0.113311331,Best Maturity,0.04710471,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),hiPSC Backbone Media - Embryonic Stem Cell (127),0.00983,0.0410041,0.01149,0.00190019,Best Maturity,0.00190019,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Electrophysiology Analysis Method - Optical Mapping (39),0.00975,0.04590459,0.00588,0.173017302,Best Maturity,0.04590459,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),hiPSC Backbone Media - StemFlex (5),0.00938,0.02660266,0.00538,0.108710871,Best Maturity,0.02660266,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Cell Line - Cor.4U (16),0.00929,0.03840384,0.00899,0.04120412,Best Maturity,0.03840384,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Publication Year - 2017 (43),0.00913,0.04550455,0.0098,0.03440344,Best Maturity,0.03440344,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Day of Insulin Addition - not 21 (14),0.00888,0.04840484,0.0091,0.03730373,Best Maturity,0.03730373,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Day of Insulin Addition - not 20 (15),0.00883,0.04720472,0.01138,0.01710171,Best Maturity,0.01710171,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),hiPSC-CM Backbone Media - DMEM (18),0.00798,0.062606261,0.00866,0.04690469,Best Maturity,0.04690469,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Time to Calcium Flux Peak (ms) Quantiles - Q5 (>2000 and ≤365) (10),0.00641,0.066706671,0.0086,0.04070407,Best Maturity,0.04070407,TRUE,FALSE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Beat Rate (bpm) Quantiles - Q4 (<60 and ≥45) (11),0.00582,0.095109511,0.0106,0.02460246,Best Maturity,0.02460246,TRUE,TRUE
Contractile Stress (mN/mm2) Quantiles - Q1 (>3.95 and ≤50) (10),Differentiation Purity Assessment - Visual Inspection (6),0.0054,0.106210621,0.00963,0.02730273,Best Maturity,0.02730273,TRUE,FALSE
